Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 20.00      0.01     0.01   436022    22.93    22.93  camlExecuteCode__execute_2985
 20.00      0.02     0.01                             camlExecuteCode__evalIsHeap_2990
 20.00      0.03     0.01                             camlExecuteCode__evalIs_2987
 20.00      0.04     0.01                             camlNat__power_base_int_2054
 20.00      0.05     0.01                             caml_search_exe_in_path
  0.00      0.05     0.00  2675037     0.00     0.00  intern_rec
  0.00      0.05     0.00  2027704     0.00     0.00  camlDt__fun_2011616
  0.00      0.05     0.00   344613     0.00     0.00  camlWriteInstrToFile__fun_3314
  0.00      0.05     0.00   309227     0.00     0.00  camlLogs__entry
  0.00      0.05     0.00   226083     0.00     0.00  caml_decompose_path
  0.00      0.05     0.00   225593     0.00     0.00  caml_hash_mix_double
  0.00      0.05     0.00   208294     0.00     3.93  camlDt__fun_2011527
  0.00      0.05     0.00   156987     0.00     0.00  camlDt__fun_2011506
  0.00      0.05     0.00   146751     0.00     0.00  camlStdlib__lexing__entry
  0.00      0.05     0.00   146751     0.00     0.00  caml_format_exception
  0.00      0.05     0.00   146751     0.00     0.00  caml_obj_reachable_words
  0.00      0.05     0.00   139446     0.00     0.00  camlDt__pp_temp_301996
  0.00      0.05     0.00    78759     0.00     0.00  caml_hash_mix_float
  0.00      0.05     0.00    65849     0.00     0.00  caml_output_value_to_block
  0.00      0.05     0.00    65828     0.00     0.00  caml_serialize_block_float_8
  0.00      0.05     0.00    53217     0.00     0.00  camlWriteInstrToFile__writeInstructions_1042
  0.00      0.05     0.00    48714     0.00     2.05  camlDt__fun_2011386
  0.00      0.05     0.00    41902     0.00     0.00  caml_deserialize_uint_4
  0.00      0.05     0.00    41902     0.00     0.00  caml_input_scan_line
  0.00      0.05     0.00    41902     0.00     0.00  caml_really_getblock
  0.00      0.05     0.00    32476     0.00     0.00  camlUtils__getStructMapFid_3047
  0.00      0.05     0.00    32476     0.00     0.00  camlUtils__reverseTbl_3052
  0.00      0.05     0.00    30904     0.00     0.00  camlDt__show_clauseAndNum_302124
  0.00      0.05     0.00    23182     0.00     0.00  camlExecuteCode__executeInstructions_2980
  0.00      0.05     0.00    18317     0.00     0.00  camlStdlib__lexing__sub_lexeme_char_opt_1925
  0.00      0.05     0.00     2603     0.00     0.00  _fini
  0.00      0.05     0.00     2109     0.00     0.00  caml_input_value
  0.00      0.05     0.00     2043     0.00     0.00  camlStdlib__stream__dump_data_401928
  0.00      0.05     0.00     2030     0.00     0.00  caml_lazy_make_forward
  0.00      0.05     0.00     1878     0.00     0.00  camlStdlib__buffer__sub_1135
  0.00      0.05     0.00     1842     0.00     0.00  caml_sys_random_seed
  0.00      0.05     0.00     1555     0.00     0.00  caml_hash_mix_string
  0.00      0.05     0.00     1300     0.00     0.00  caml_md5_string
  0.00      0.05     0.00      898     0.00     0.00  caml_putword
  0.00      0.05     0.00      802     0.00     1.22  camlCore__Core_filename__split_extension_105437
  0.00      0.05     0.00      682     0.00     0.00  caml_md5_channel
  0.00      0.05     0.00      608     0.00     0.00  camlDt__fun_2011798
  0.00      0.05     0.00      597     0.00     0.00  caml_ba_hash
  0.00      0.05     0.00      508     0.00     0.00  camlStdlib__bytes__fun_2044
  0.00      0.05     0.00      476     0.00     0.00  camlStdlib__set__aux_601508
  0.00      0.05     0.00      474     0.00     0.00  caml_hash
  0.00      0.05     0.00      464     0.00     0.00  camlStdlib__seq__flat_map_401033
  0.00      0.05     0.00      440     0.00     0.00  camlStdlib__format__pp_clear_queue_1764
  0.00      0.05     0.00      440     0.00     0.00  camlStdlib__seq__aux_601062
  0.00      0.05     0.00      440     0.00     2.05  camlStdlib__weak__find_shadow_201529
  0.00      0.05     0.00      440     0.00     0.00  caml_get_public_method
  0.00      0.05     0.00      440     0.00     0.00  caml_sys_const_word_size
  0.00      0.05     0.00      440     0.00     0.00  caml_sys_get_argv
  0.00      0.05     0.00      414     0.00     2.05  unix_mknod_stub
  0.00      0.05     0.00      412     0.00     0.00  caml_input_val_core
  0.00      0.05     0.00      401     0.00     2.43  camlCore__Core_filename__split_3738
  0.00      0.05     0.00      384     0.00     0.00  camlMain__show_test_102073
  0.00      0.05     0.00      374     0.00     0.00  caml_sys_error
  0.00      0.05     0.00      368     0.00     0.00  caml_input_val_from_bytes
  0.00      0.05     0.00      337     0.00     0.00  caml_sys_remove
  0.00      0.05     0.00      311     0.00     0.97  camlLinearise__renameInstruction_7119
  0.00      0.05     0.00      310     0.00     1.95  camlCore__Import__entry
  0.00      0.05     0.00      225     0.00     0.09  camlUnify__unifyH_303071
  0.00      0.05     0.00      222     0.00     0.00  camlUnify__bind_102734
  0.00      0.05     0.00      185     0.00     0.00  hash_aux
  0.00      0.05     0.00      171     0.00     0.00  caml_obj_dup
  0.00      0.05     0.00      169     0.00     0.00  camlStdlib__array__map_1066
  0.00      0.05     0.00      162     0.00     0.00  camlGenCode__fun_707952
  0.00      0.05     0.00      157     0.00     0.00  camlGenFunctionTable__makeBodyValAbstract_104152
  0.00      0.05     0.00      153     0.00     0.00  camlStdlib__bytes__sub_string_1037
