Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 18.36      0.71     0.71 49828748     0.00     0.00  camlExecuteCode__execute_2985
 12.37      1.18     0.48 270232392     0.00     0.00  camlLogging__logDebug_1758
 11.46      1.62     0.44 323612078     0.00     0.00  caml_modify
  4.95      1.81     0.19 49828747     0.00     0.00  camlExecuteCode__getStructureH_2991
  4.95      2.00     0.19 40870781     0.00     0.00  camlExecuteCode__createEnvironment_2664
  4.82      2.19     0.19                             camlLogs__kmsg_inner_303120
  4.30      2.35     0.17 81368298     0.00     0.00  camlListImp__createNew_1228
  3.91      2.50     0.15 33592441     0.00     0.00  caml_array_gather
  3.39      2.63     0.13     7612     0.00     0.00  caml_initialize
  3.13      2.75     0.12 30793065     0.00     0.00  camlUnify__rewindTrail_202739
  3.13      2.87     0.12 40870869     0.00     0.00  caml_make_vect
  2.60      2.97     0.10 30793065     0.00     0.00  camlUnify__backtrack_303065
  2.34      3.06     0.09 49828747     0.00     0.00  camlExecuteCode__getStructure_2992
  1.82      3.13     0.07 33592605     0.00     0.00  caml_alloc_small
  1.82      3.20     0.07 33592441     0.00     0.00  caml_array_sub
  1.56      3.26     0.06 30793065     0.00     0.00  camlUnify__rewindStack_302755
  1.30      3.31     0.05                             camlStdlib__array__make_matrix_1027
  1.17      3.36     0.05                             camlLogs__kmsg_202609
  1.17      3.40     0.05                             camlLogs__kunit_202620
  1.17      3.45     0.05 81370415     0.00     0.00  caml_apply2
  1.04      3.49     0.04 33592441     0.00     0.00  camlStdlib__array__copy_1034
  1.04      3.53     0.04  2505985     0.00     0.00  caml_darken
  1.04      3.57     0.04        1     0.04     0.04  caml_array_blit
  1.04      3.61     0.04                             caml_c_call
  0.78      3.64     0.03                             camlBase__Sys0__code_end
  0.65      3.66     0.03                             camlFlattenInstrForPrint__code_end
  0.52      3.68     0.02 11539123     0.00     0.00  caml_oldify_one
  0.52      3.70     0.02  7910408     0.00     0.00  caml_page_table_lookup
  0.52      3.72     0.02    15124     0.00     0.00  caml_oldify_local_roots
