# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       22.406       39.680
       0.001        0.000       22.406       39.680
       0.001        0.000       22.406       39.680
       0.001        0.000       22.406       39.680
       0.002        0.000       22.664       39.680
       0.002        0.000       22.664       39.680
       0.002        0.000       22.664       39.680
       0.003        0.000       22.664       39.680
       0.003        0.000       22.664       39.680
       0.003        0.000       22.922       39.680
       0.003        0.000       22.922       39.680
       0.004        0.000       22.922       39.680
       0.004        0.000       22.922       39.680
       0.004        0.000       22.922       39.680
       0.005        0.000       22.922       39.680
       0.005        0.000       22.922       39.680
       0.005        0.000       22.922       39.680
       0.005        0.000       22.922       39.680
       0.006        0.000       22.922       39.680
       0.006        0.000       22.922       39.680
       0.006        0.000       22.922       39.680
       0.006        0.000       22.922       41.188
       0.007        0.000       23.180       41.188
       0.007        0.000       23.180       41.188
       0.007        0.000       23.180       41.188
       0.007        0.000       23.180       41.188
       0.007        0.000       23.180       41.188
       0.008     4696.900       23.180       41.188
       0.008        0.000       23.180       41.188
       0.008        0.000       23.180       41.188
       0.008        0.000       23.180       41.188
       0.009        0.000       23.180       41.188
       0.009        0.000       23.180       41.188
       0.009        0.000       23.180       41.188
       0.009        0.000       23.180       41.188
       0.009        0.000       23.180       41.188
       0.010        0.000       23.180       41.188
       0.010        0.000       23.180       41.188
       0.010        0.000       23.438       41.188
       0.010        0.000       23.438       41.188
       0.011        0.000       23.695       41.188
       0.011        0.000       23.695       41.188
       0.011        0.000       23.695       41.188
       0.011        0.000       23.695       41.188
       0.011        0.000       23.695       41.188
       0.012        0.000       23.695       41.188
       0.012        0.000       23.695       41.188
       0.012        0.000       23.695       41.188
       0.012        0.000       23.695       41.188
       0.012        0.000       23.695       41.188
       0.013        0.000       23.695       41.188
       0.013        0.000       23.695       41.188
       0.013        0.000       23.695       41.188
       0.013        0.000       23.695       41.188
       0.013        0.000       23.695       41.188
       0.014        0.000       23.695       41.188
       0.014        0.000       23.953       41.188
       0.014        0.000       23.953       41.188
       0.014        0.000       23.953       41.188
       0.015        0.000       23.953       41.188
       0.015        0.000       23.953       41.188
       0.015        0.000       23.953       41.188
       0.015        0.000       23.953       41.188
       0.016        0.000       23.953       41.188
       0.016        0.000       23.953       41.188
       0.016        0.000       23.953       41.188
       0.016        0.000       23.953       41.188
       0.016        0.000       23.953       41.188
       0.017        0.000       23.953       41.188
       0.017        0.000       24.211       41.188
       0.017        0.000       24.211       41.188
       0.017        0.000       24.211       41.188
       0.017     3731.600       24.211       41.188
       0.018        0.000       24.211       41.188
       0.018        0.000       24.211       41.188
       0.018        0.000       24.211       41.188
       0.019        0.000       24.211       41.188
       0.019        0.000       24.211       41.188
       0.019        0.000       24.211       41.188
       0.019        0.000       24.469       41.188
       0.020        0.000       24.727       43.051
       0.020        0.000       24.727       43.051
       0.020        0.000       24.727       43.051
       0.020        0.000       24.727       43.051
       0.021        0.000       24.727       43.051
       0.021        0.000       24.727       43.051
       0.021        0.000       24.727       43.051
       0.021        0.000       24.727       43.051
       0.021        0.000       24.727       43.051
       0.022        0.000       24.727       43.051
       0.022        0.000       24.727       43.051
       0.022        0.000       24.727       43.051
       0.022        0.000       24.727       43.051
       0.023        0.000       24.984       43.051
       0.023        0.000       24.984       43.051
       0.023        0.000       24.984       43.051
       0.023        0.000       25.242       43.051
       0.023        0.000       25.242       43.051
       0.023        0.000       25.242       43.051
       0.024        0.000       25.242       43.051
       0.024        0.000       25.242       43.051
       0.024        0.000       25.242       43.051
       0.024        0.000       25.242       43.051
       0.024        0.000       25.242       43.051
       0.024        0.000       25.242       43.051
       0.025        0.000       25.242       43.051
       0.025        0.000       25.242       43.051
       0.025        0.000       25.242       43.051
       0.025        0.000       25.242       43.051
       0.025        0.000       25.500       43.051
       0.025        0.000       25.500       43.051
       0.025        0.000       25.500       43.051
       0.025        0.000       25.500       43.051
       0.026        0.000       25.500       43.051
       0.026        0.000       25.500       43.051
       0.026        0.000       25.500       43.051
       0.026        0.000       25.758       43.051
       0.026        0.000       25.758       43.051
       0.026        0.000       25.758       43.051
       0.027        0.000       25.758       43.051
       0.027        0.000       25.758       43.051
       0.027        0.000       25.758       43.051
       0.027        0.000       25.758       43.051
       0.027        0.000       25.758       43.051
       0.027        0.000       25.758       43.051
       0.027        0.000       25.758       43.051
       0.028        0.000       25.758       43.051
       0.028        0.000       26.016       43.051
       0.028        0.000       26.016       43.051
       0.028        0.000       26.016       43.051
       0.028        0.000       26.273       43.051
       0.028        0.000       26.273       43.051
       0.028        0.000       26.273       43.051
       0.028        0.000       26.273       43.051
       0.029        0.000       26.273       43.051
       0.029        0.000       26.273       43.051
       0.029        0.000       26.273       43.051
       0.029        0.000       26.273       43.051
       0.029        0.000       26.273       43.051
       0.029        0.000       26.273       43.051
       0.029        0.000       26.273       43.051
       0.030     6177.200       26.531       45.043
       0.030        0.000       26.531       45.043
       0.030        0.000       26.531       45.043
       0.030        0.000       26.531       45.043
       0.030        0.000       26.531       45.043
       0.030        0.000       26.531       45.043
       0.030        0.000       26.531       45.043
       0.031        0.000       26.531       45.043
       0.031        0.000       26.531       45.043
       0.031        0.000       26.531       45.043
       0.031        0.000       26.531       45.043
       0.031        0.000       26.531       45.043
       0.031        0.000       26.789       45.043
       0.031        0.000       26.789       45.043
       0.032        0.000       26.789       45.043
       0.032        0.000       26.789       45.043
       0.032        0.000       27.047       45.043
       0.032        0.000       27.047       45.043
       0.032        0.000       27.047       45.043
       0.032        0.000       27.047       45.043
       0.032        0.000       27.047       45.043
       0.033        0.000       27.047       45.043
       0.033        0.000       27.047       45.043
       0.033        0.000       27.047       45.043
       0.033        0.000       27.047       45.043
       0.033        0.000       27.047       45.043
       0.033        0.000       27.047       45.043
       0.033        0.000       27.047       45.043
       0.033        0.000       27.047       45.043
       0.034        0.000       27.047       45.043
       0.034        0.000       27.305       45.043
       0.034        0.000       27.305       45.043
       0.034        0.000       27.305       45.043
       0.034        0.000       27.305       45.043
       0.034        0.000       27.305       45.043
       0.034        0.000       27.305       45.043
       0.034        0.000       27.305       45.043
       0.035        0.000       27.305       45.043
       0.035        0.000       27.305       45.043
       0.035        0.000       27.305       45.043
       0.035        0.000       27.305       45.043
       0.035        0.000       27.305       45.043
       0.035        0.000       27.305       45.043
       0.035        0.000       27.305       45.043
       0.035        0.000       27.305       45.043
       0.036        0.000       27.305       45.043
       0.036        0.000       27.562       45.043
       0.036        0.000       27.562       45.043
       0.036        0.000       27.562       45.043
       0.036        0.000       27.562       45.043
       0.036        0.000       27.562       45.043
       0.036        0.000       27.562       45.043
       0.036        0.000       27.562       45.043
       0.036        0.000       27.562       45.043
       0.037        0.000       27.562       45.043
       0.037        0.000       27.562       45.043
       0.037        0.000       27.562       45.043
       0.037        0.000       27.562       45.043
       0.037        0.000       27.820       45.043
       0.037        0.000       27.820       45.043
       0.037        0.000       27.820       45.043
       0.037        0.000       28.078       45.043
       0.038     7145.300       28.078       45.043
       0.038        0.000       28.078       45.043
       0.038        0.000       28.078       45.043
       0.038        0.000       28.078       45.043
       0.038        0.000       28.078       45.043
       0.038        0.000       28.078       45.043
       0.038        0.000       28.078       45.043
       0.038        0.000       28.078       45.043
       0.038        0.000       28.078       45.043
       0.039        0.000       28.078       45.043
       0.039        0.000       28.078       45.043
       0.039        0.000       28.078       45.043
       0.039        0.000       28.078       45.043
       0.039        0.000       28.078       45.043
       0.039        0.000       28.078       45.043
       0.039        0.000       28.078       45.043
       0.039        0.000       28.078       45.043
       0.040        0.000       28.336       45.043
       0.040        0.000       28.336       45.043
       0.040        0.000       28.336       47.332
       0.040        0.000       28.336       47.332
       0.040        0.000       28.594       47.332
       0.040        0.000       28.594       47.332
       0.040        0.000       28.594       47.332
       0.040        0.000       28.594       47.332
       0.041        0.000       28.594       47.332
       0.041        0.000       28.594       47.332
       0.041        0.000       28.594       47.332
       0.041        0.000       28.594       47.332
       0.041        0.000       28.594       47.332
       0.041        0.000       28.594       47.332
       0.041        0.000       28.594       47.332
       0.041        0.000       28.594       47.332
       0.042        0.000       28.594       47.332
       0.042        0.000       28.594       47.332
       0.042        0.000       28.594       47.332
       0.042        0.000       28.594       47.332
       0.042        0.000       28.594       47.332
       0.042        0.000       28.594       47.332
       0.042        0.000       28.852       47.332
       0.042        0.000       28.852       47.332
       0.042        0.000       28.852       47.332
       0.043        0.000       28.852       47.332
       0.043        0.000       28.852       47.332
       0.043        0.000       28.852       47.332
       0.043        0.000       28.852       47.332
       0.043        0.000       28.852       47.332
       0.043        0.000       28.852       47.332
       0.043        0.000       28.852       47.332
       0.043        0.000       28.852       47.332
       0.043        0.000       28.852       47.332
       0.044        0.000       28.852       47.332
       0.044        0.000       28.852       47.332
       0.044        0.000       28.852       47.332
       0.044        0.000       28.852       47.332
       0.044        0.000       29.109       47.332
       0.044        0.000       29.109       47.332
       0.044        0.000       29.109       47.332
       0.044        0.000       29.109       47.332
       0.044        0.000       29.367       47.332
       0.044        0.000       29.367       47.332
       0.045        0.000       29.367       47.332
       0.045        0.000       29.367       47.332
       0.045        0.000       29.367       47.332
       0.045        0.000       29.367       47.332
       0.045        0.000       29.367       47.332
       0.045        0.000       29.367       47.332
       0.045        0.000       29.367       47.332
       0.046        0.000       29.367       47.332
       0.046        0.000       29.367       47.332
       0.046        0.000       29.367       47.332
       0.046        0.000       29.367       47.332
       0.046        0.000       29.367       47.332
       0.046        0.000       29.367       47.332
       0.046        0.000       29.625       47.332
       0.047        0.000       29.625       47.332
       0.047        0.000       29.625       47.332
       0.047        0.000       29.625       47.332
       0.047        0.000       29.625       47.332
       0.047        0.000       29.625       47.332
       0.047        0.000       29.625       47.332
       0.047        0.000       29.625       47.332
       0.048        0.000       29.625       47.332
       0.048        0.000       29.625       47.332
       0.048        0.000       29.625       47.332
       0.048        0.000       29.625       47.332
       0.048        0.000       29.625       47.332
       0.048        0.000       29.625       47.332
       0.048        0.000       29.625       47.332
       0.049        0.000       29.625       47.332
       0.049        0.000       29.625       47.332
       0.049        0.000       29.625       47.332
       0.049        0.000       29.625       47.332
       0.049        0.000       29.625       47.332
       0.049        0.000       29.883       47.332
       0.049        0.000       29.883       47.332
       0.050        0.000       29.883       47.332
       0.050        0.000       29.883       47.332
       0.050        0.000       29.883       47.332
       0.050        0.000       29.883       47.332
       0.050        0.000       29.883       47.332
       0.050        0.000       29.883       47.332
       0.051        0.000       29.883       47.332
       0.051        0.000       29.883       47.332
       0.051        0.000       29.883       47.332
       0.051        0.000       29.883       47.332
       0.051        0.000       30.141       47.332
       0.051        0.000       30.141       47.332
       0.051        0.000       30.141       47.332
       0.051        0.000       30.398       47.332
       0.052        0.000       30.398       47.332
       0.052        0.000       30.398       47.332
       0.052        0.000       30.398       47.332
       0.052        0.000       30.398       47.332
       0.052        0.000       30.398       47.332
       0.053        0.000       30.398       47.332
       0.053        0.000       30.398       47.332
       0.053        0.000       30.398       47.332
       0.053        0.000       30.398       47.332
       0.053        0.000       30.398       47.332
       0.053        0.000       30.656       47.332
       0.053        0.000       30.656       49.965
       0.053        0.000       30.656       49.965
       0.054     6765.000       30.656       49.965
       0.054        0.000       30.656       49.965
       0.054        0.000       30.656       49.965
       0.054        0.000       30.656       49.965
       0.054        0.000       30.656       49.965
       0.054        0.000       30.656       49.965
       0.054        0.000       30.656       49.965
       0.055        0.000       30.656       49.965
       0.055        0.000       30.656       49.965
       0.055        0.000       30.656       49.965
       0.055        0.000       30.914       49.965
       0.055        0.000       30.914       49.965
       0.055        0.000       30.914       49.965
       0.055        0.000       31.172       49.965
       0.056        0.000       31.172       49.965
       0.056        0.000       31.172       49.965
       0.056        0.000       31.172       49.965
       0.056        0.000       31.172       49.965
       0.056        0.000       31.172       49.965
       0.056        0.000       31.172       49.965
       0.056        0.000       31.172       49.965
       0.057        0.000       31.172       49.965
       0.057        0.000       31.172       49.965
       0.057        0.000       31.172       49.965
       0.057        0.000       31.172       49.965
       0.057        0.000       31.172       49.965
       0.057        0.000       31.430       49.965
       0.058        0.000       31.430       49.965
       0.058        0.000       31.430       49.965
       0.058        0.000       31.430       49.965
       0.058        0.000       31.430       49.965
       0.058        0.000       31.430       49.965
       0.058        0.000       31.430       49.965
       0.058        0.000       31.430       49.965
       0.059        0.000       31.430       49.965
       0.059        0.000       31.430       49.965
       0.059        0.000       31.430       49.965
       0.059        0.000       31.430       49.965
       0.059        0.000       31.688       49.965
       0.059        0.000       31.688       49.965
       0.059        0.000       31.688       49.965
       0.059        0.000       31.688       49.965
       0.059        0.000       31.688       49.965
       0.060        0.000       31.688       49.965
       0.060        0.000       31.688       49.965
       0.060        0.000       31.688       49.965
       0.060        0.000       31.945       49.965
       0.060        0.000       31.945       49.965
       0.060        0.000       32.203       49.965
       0.060        0.000       32.203       49.965
       0.060        0.000       32.203       49.965
       0.060        0.000       32.203       49.965
       0.060        0.000       32.203       49.965
       0.061        0.000       32.203       49.965
       0.061        0.000       32.203       49.965
       0.061        0.000       32.203       49.965
       0.061        0.000       32.203       49.965
       0.061        0.000       32.203       49.965
       0.061        0.000       32.461       49.965
       0.061        0.000       32.461       49.965
       0.061        0.000       32.461       49.965
       0.061        0.000       32.461       49.965
       0.061        0.000       32.461       49.965
       0.062     9098.300       32.461       49.965
       0.062        0.000       32.461       49.965
       0.062        0.000       32.461       49.965
       0.062        0.000       32.461       49.965
       0.062        0.000       32.461       49.965
       0.062        0.000       32.461       49.965
       0.062        0.000       32.461       49.965
       0.062        0.000       32.461       49.965
       0.062        0.000       32.719       49.965
       0.062        0.000       32.719       49.965
       0.063        0.000       32.719       49.965
       0.063        0.000       32.719       49.965
       0.063        0.000       32.719       49.965
       0.063        0.000       32.719       49.965
       0.063        0.000       32.719       49.965
       0.063        0.000       32.719       49.965
       0.063        0.000       32.719       49.965
       0.063        0.000       32.719       49.965
       0.063        0.000       32.719       49.965
       0.063        0.000       32.977       49.965
       0.064        0.000       32.977       49.965
       0.064        0.000       32.977       49.965
       0.064        0.000       32.977       49.965
       0.064        0.000       33.234       49.965
       0.064        0.000       33.234       49.965
       0.064        0.000       33.234       49.965
       0.064        0.000       33.234       49.965
       0.064        0.000       33.234       49.965
       0.064        0.000       33.234       49.965
       0.064        0.000       33.234       49.965
       0.065        0.000       33.234       49.965
       0.065        0.000       33.234       49.965
       0.065        0.000       33.234       49.965
       0.065        0.000       33.234       49.965
       0.065        0.000       33.234       52.992
       0.065        0.000       33.492       52.992
       0.065        0.000       33.492       52.992
       0.065        0.000       33.492       52.992
       0.065        0.000       33.492       52.992
       0.065        0.000       33.492       52.992
       0.066        0.000       33.492       52.992
       0.066        0.000       33.492       52.992
       0.066        0.000       33.492       52.992
       0.066        0.000       33.492       52.992
       0.066        0.000       33.492       52.992
       0.066        0.000       33.492       52.992
       0.066        0.000       33.492       52.992
       0.066        0.000       33.750       52.992
       0.066        0.000       33.750       52.992
       0.067        0.000       33.750       52.992
       0.067        0.000       34.008       52.992
       0.067        0.000       34.008       52.992
       0.067        0.000       34.008       52.992
       0.067        0.000       34.008       52.992
       0.067        0.000       34.008       52.992
       0.067        0.000       34.008       52.992
       0.067        0.000       34.008       52.992
       0.067        0.000       34.008       52.992
       0.067        0.000       34.008       52.992
       0.068        0.000       34.008       52.992
       0.068        0.000       34.008       52.992
       0.068        0.000       34.008       52.992
       0.068        0.000       34.266       52.992
       0.068        0.000       34.266       52.992
       0.068        0.000       34.266       52.992
       0.068        0.000       34.266       52.992
       0.068        0.000       34.266       52.992
       0.068        0.000       34.266       52.992
       0.068        0.000       34.266       52.992
       0.069        0.000       34.266       52.992
       0.069        0.000       34.266       52.992
       0.069        0.000       34.266       52.992
       0.069        0.000       34.266       52.992
       0.069        0.000       34.266       52.992
       0.069        0.000       34.266       52.992
       0.069        0.000       34.523       52.992
       0.069        0.000       34.523       52.992
       0.069        0.000       34.523       52.992
       0.069        0.000       34.523       52.992
       0.070        0.000       34.523       52.992
       0.070        0.000       34.523       52.992
       0.070        0.000       34.523       52.992
       0.070        0.000       34.523       52.992
       0.070        0.000       34.523       52.992
       0.070        0.000       34.523       52.992
       0.070        0.000       34.523       52.992
       0.070        0.000       34.523       52.992
       0.070        0.000       34.781       52.992
       0.071        0.000       34.781       52.992
       0.071        0.000       34.781       52.992
       0.071        0.000       35.039       52.992
       0.071        0.000       35.039       52.992
       0.071        0.000       35.039       52.992
       0.071        0.000       35.039       52.992
       0.071        0.000       35.039       52.992
       0.071        0.000       35.039       52.992
       0.071        0.000       35.039       52.992
       0.071        0.000       35.039       52.992
       0.072        0.000       35.039       52.992
       0.072        0.000       35.039       52.992
       0.072        0.000       35.039       52.992
       0.072        0.000       35.039       52.992
       0.072        0.000       35.039       52.992
       0.072        0.000       35.297       52.992
       0.072        0.000       35.297       52.992
       0.072        0.000       35.297       52.992
       0.072        0.000       35.297       52.992
       0.072        0.000       35.297       52.992
       0.072        0.000       35.297       52.992
       0.073        0.000       35.297       52.992
       0.073        0.000       35.297       52.992
       0.073        0.000       35.297       52.992
       0.073        0.000       35.297       52.992
       0.073        0.000       35.297       52.992
       0.073        0.000       35.555       52.992
       0.073        0.000       35.555       52.992
       0.073        0.000       35.555       52.992
       0.073        0.000       35.555       52.992
       0.073        0.000       35.812       52.992
       0.074     7294.400       35.812       52.992
       0.074        0.000       35.812       52.992
       0.074        0.000       35.812       52.992
       0.074        0.000       35.812       52.992
       0.074        0.000       35.812       52.992
       0.074        0.000       35.812       52.992
       0.074        0.000       35.812       52.992
       0.074        0.000       35.812       52.992
       0.074        0.000       35.812       52.992
       0.075        0.000       35.812       52.992
       0.075        0.000       35.812       52.992
       0.075        0.000       35.812       52.992
       0.075        0.000       35.812       52.992
       0.075        0.000       35.812       52.992
       0.075        0.000       36.070       52.992
       0.075        0.000       36.070       52.992
       0.075        0.000       36.070       52.992
       0.075        0.000       36.070       52.992
       0.075        0.000       36.328       52.992
       0.076        0.000       36.328       52.992
       0.076        0.000       36.328       52.992
